Menu Item Name,Family Group,Major Group,Qty Sold
MATCHA GN TEA M,BEVERAGES,BEVERAGES,309
RAZZMATAZZ S,BEVERAGES,BEVERAGES,307
WAFFLE BATTR,BREAKFAST,FOOD,302
ACAI ANTIOX M,BEVERAGES,BEVERAGES,300
EXTR DELI MEAT,TOPPINGS,FOOD,296
POM PARIDISE M,BEVERAGES,BEVERAGES,294
DLY VIT ZINC BST,BEVERAGES,BEVERAGES,292
FRNCH TST OR,BREAKFAST,FOOD,285
HASH BROWNS,BREAKFAST,FOOD,285
APPL N GRNS M,BEVERAGES,BEVERAGES,283
FRNCH TST CINN,BREAKFAST,FOOD,280
COCOA L,BEVERAGES,BEVERAGES,265
GRILLED CHEESE,SANDWICHES,FOOD,265
SRIRACHA BLUES,SANDWICHES,FOOD,265
1872 RST CHIX,ENTREES,FOOD,264
T SLD CHICKEN,FOOD,FOOD,263
PB N BANANA M,BEVERAGES,BEVERAGES,261
APPL N GRNS S,BEVERAGES,BEVERAGES,258
CHOC MOUSSE,DESSERTS,FOOD,254
ALOHA PNPL S,BEVERAGES,BEVERAGES,253
MEGA MANGO S,BEVERAGES,BEVERAGES,252
EMP DELI COMBO,EMPLOYEE MEALS,EMPL MEALS,251
COOKIES N CRM M,BEVERAGES,BEVERAGES,248
POM PARIDISE S,BEVERAGES,BEVERAGES,248
SIDE SOUR CREAM,FOOD,FOOD,245
ALBACORE TUNA,SANDWICHES,FOOD,242
WHT CHOC FLAV,BEVERAGES,BEVERAGES,242
PASTRMI N SWISS,SANDWICHES,FOOD,241
PEANT BTR MD M,BEVERAGES,BEVERAGES,241
BAK PUMPKIN PIE,FOOD,FOOD,240
CHAI LATTE L,BEVERAGES,BEVERAGES,239
SHRIMP NIGIRI,ENTREES,FOOD,238
BRD BLT,SANDWICHES,FOOD,236
GRNS N GNGR M,BEVERAGES,BEVERAGES,235
ACAI ANTIOX S,BEVERAGES,BEVERAGES,234
PCH PERFCTION M,BEVERAGES,BEVERAGES,234
CARIBBEAN L,BEVERAGES,BEVERAGES,229
SPECIALTY BREAD,BREADS,FOOD,229
ICD GRN T LATT M,BEVERAGES,BEVERAGES,223
SEASONAL 1  L,BEVERAGES,BEVERAGES,220
GRILLED SALMON,ENTREES,FOOD,217
